N,Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen,Version,Studiengang,AbschlussArt
1,Studien- und Prüfungsordnung Zahnmedizin,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttlkav,14.02.2025,2025/030,Berichtigung der 1. Änderungsordnung (Gesamtfassung),,,Zahnmedizin,
2,"Prüfungsordnung Unterrichtsfach Mathematik, Lehramt an Berufskollegs, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaactuwwnz,14.02.2025,2025/029,3. Änderungsordnung (Gesamtfassung),30.09.2026,2019,Mathematik,
3,"Prüfungsordnung Unterrichtsfach Mathematik, Lehramt an Gymnasien und Gesamtschulen, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttlapb,14.02.2025,2025/028,3. Änderungsordnung (Gesamtfassung),,2017,Mathematik,
4,"Prüfungsordnung Unterrichtsfach Mathematik, Bachelor, Lehramt an Berufskollegs, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttkyta,14.02.2025,2025/027,2. Änderungsordnung (Gesamtfassung),,2021,Mathematik,
5,"Prüfungsordnung Unterrichtsfach Mathematik, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttkuqb,14.02.2025,2025/026,2. Änderungsordnung (Gesamtfassung),,2021,Mathematik,
6,"Prüfungsordnung Unterrichtsfach Mathematik, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttksxt,14.02.2025,2025/025,3. Änderungsordnung (Gesamtfassung),30.09.2026,2019,Mathematik,
7,"Prüfungsordnung Unterrichtsfach Mathematik, Lehramt an Berufskollegs, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttkqtd,14.02.2025,2025/024,3. Änderungsordnung (Gesamtfassung),,2017,Mathematik,
8,Auswahlkriterien für das Auswahlverfahren in dem örtlich zulassungsbeschränkten Masterstudiengang Battery Science and Technology in Engineering,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttkpwu,14.02.2025,2025/023,Berichtigung der Ordnung,,,Battery Science and Technology in Engineering,
9,Promotionsordnung Fakultät Bauingenieurwesen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttkoie,14.02.2025,2025/022,7. Änderungsordnung (Gesamtfassung),,,nan,
10,"Prüfungsordnung Computational Social Systems, Master (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttklmi,14.02.2025,2025/021,2. Änderungsordnung (Gesamtfassung),,2021,Computational Social Systems,
11,Satzung der Studierendenschaft,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttkhce,14.02.2025,2025/020,25. Änderungsordnung (Gesamtfassung),,,nan,
12,Finanzordnung der Studierendenschaft,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttkess,14.02.2025,2025/019,26. Änderungsordnung (Gesamtfassung),,,nan,
13,Richtlinien für die Beschäftigung und Vergütung wissenschaftlicher und studentischer Hilfskräfte,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttjxaz,14.02.2025,2025/018,10. Änderungsordnung (Gesamtfassung),,,nan,
14,"Prüfungsordnung Georessourcenmanagement, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttjvoo,14.02.2025,2025/017,Ordnung,,2019,Georessourcenmanagement,
15,"Übergreifende Prüfungsordnung, Master, Lehramt an Gymnasien und Gesamtschulen sowie Berufskollegs (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttjoje,14.02.2025,2025/016,15. Änderungsordnung (Gesamtfassung),,2017,nan,
16,"Übergreifende Prüfungsordnung, Bachelor, Lehramt an Gymnasien und Gesamtschulen sowie Berufskollegs (10/2011)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttjmmv,14.02.2025,2025/015,18. Änderungsordnung (Gesamtfassung),,2011,nan,
17,"Übergreifende Prüfungsordnung, Bachelor und Master (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttjkty,14.02.2025,2025/014,18. Änderungsordnung (Gesamtfassung),,2015,nan,
18,"Prüfungsordnung Umweltingenieurwissenschaften, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaactntsuf,07.02.2025,2025/013,7. Änderungsordnung (Gesamtfassung),,2019,Umweltingenieurwissenschaften,
19,"Prüfungsordnung Umweltingenieurwissenschaften, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaactntqyb,07.02.2025,2025/012,5. Änderungsordnung (Gesamtfassung),,2019,Umweltingenieurwissenschaften,
20,"Prüfungsordnung Wirtschaftsingenieurwesen (Fachrichtung Bauingenieurwesen), Master, (10/2015 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaactntive,07.02.2025,2025/011,12. Änderungsordnung (Gesamtfassung),,2015 s,Wirtschaftsingenieurwesen Bauwesen,
21,"Prüfungsordnung Bauingenieurwesen mit Orientierungssemester, Teilstudiengang Bauingenieurwesen Plus, Bachelor, (04/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaactjfpls,03.02.2025,2025/010,4. Änderungsordnung (Gesamtfassung),,2020,Bauingenieurwesen,
22,"Prüfungsordnung Biomedical Engineering, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaactegezm,28.01.2025,2025/009,Berichtigung der Ordnung,,2025,Biomedical Engineering,
23,"Prüfungsordnung Sustainable Management - Water and Energy, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaactefyiu,28.01.2025,2025/008,5. Änderungsordnung (Gesamtfassung),,2017,Sustainable Management - Water and Energy,
24,"Prüfungsordnung Verkehrsingenieurwesen und Mobilität, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaactajejg,22.01.2025,2025/007,9. Änderungsordnung (Gesamtfassung),,2019,Verkehrsingenieurwesen und Mobilität,
25,"Prüfungsordnung Bauingenieurwesen, Master, (04/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaactaitqs,22.01.2025,2025/006,8. Änderungsordnung (Gesamtfassung),,2021,Bauingenieurwesen,
26,"Prüfungsordnung Verkehrsingenieurwesen und Mobilität, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaactaietq,22.01.2025,2025/005,7. Änderungsordnung (Gesamtfassung),,2019,Verkehrsingenieurwesen und Mobilität,
27,"Prüfungsordnung Bauingenieurwesen, Bachelor, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaactadvfa,22.01.2025,2025/004,5. Änderungsordnung (Gesamtfassung),,2020,Bauingenieurwesen,
28,"Fachschaftsordnung 5/1 Bergbau, Energie und Recycling",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacsnblcj,06.01.2025,2024/168,3. Änderungsordnung (Gesamtfassung),,,nan,
29,"Prüfungsordnung Wirtschaftsingenieurwesen Fachrichtung Werkstoff- und Prozesstechnik, Bachelor",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskhgsz,20.12.2024,2024/167,Ordnung,,,Wirtschaftsingenieurwesen Werkstoff- u. Prozesstechnik,
30,"Prüfungsordnung Wirtschaftsingenieurwesen Fachrichtung Bauingenieurwesen, Bachelor",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskhfqc,20.12.2024,2024/166,Ordnung,,,Wirtschaftsingenieurwesen Bauwesen,
31,"Prüfungsordnung Wirtschaftsingenieurwesen Fachrichtung Elektrische Energietechnik, Bachelor",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskhesq,20.12.2024,2024/165,Ordnung,,,Wirtschaftsingenieurwesen Elektr. Energietechnik,
32,"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Berufskollegs, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskhdok,20.12.2024,2024/164,1. Änderungsordnung (Gesamtfassung),,2024,Biologie,
33,"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskhbew,20.12.2024,2024/163,1. Änderungsordnung (Gesamtfassung),,2024,Biologie,
